"ErrorDescription";"Pricebook2Id";"Product2Id";"UnitPrice";"UseStandardPrice";"sku_as_id__c"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkmAAE";"16.95";"False";"B07JM5397V"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQknAAE";"11.95";"False";"B07JMHV3VB"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkoAAE";"18.95";"False";"B07JMHVHGF"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkpAAE";"55.95";"False";"B07JMHWPFP"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkqAAE";"29.95";"False";"B07JMKC49P"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkrAAE";"16.95";"False";"B07JMLT8CH"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQksAAE";"20.95";"False";"B07JMM7V97"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQktAAE";"39.95";"False";"B07KX7DYFW"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkuAAE";"13.95";"False";"B07KX7YGLR"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkvAAE";"12.95";"False";"B07KX8S7S2"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkwAAE";"67.95";"False";"B07L3RLXT9"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkxAAE";"35.95";"False";"B07L3Z5BHH"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkyAAE";"17.95";"False";"B07L3ZDTJ9"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkzAAE";"11.95";"False";"B07L3ZY95V"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl0AAE";"35.95";"False";"B07L41C3FN"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl1AAE";"42.95";"False";"B07L41XTJJ"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl2AAE";"59.95";"False";"B07L41Z65S"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl3AAE";"10.95";"False";"B07L42TMFJ"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl4AAE";"13.95";"False";"B07L435Q38"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl5AAE";"11.95";"False";"B07L43TTX3"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl6AAE";"11.99";"False";"B07L5ZBNHB"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl7AAE";"59.95";"False";"B07L8MTXFG"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl8AAE";"14.99";"False";"B07MJCTJYZ"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQl9AAE";"55.99";"False";"B07NH7VDB2"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQlAAAU";"49.95";"False";"B07NHG7JG4"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQlBAAU";"54.99";"False";"B07P7Q6W11"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQlCAAU";"49.95";"False";"B07PFG2Q3Z"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQlDAAU";"20.95";"False";"B07PFY8CJY"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQlEAAU";"49.95";"False";"B07PJ191H7"
