"ErrorDescription";"Pricebook2Id";"Product2Id";"UnitPrice";"sku_as_id__c"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqUQAQ";"12.99";"JY-UKK8-FROJ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqVQAQ";"12.99";"K3-1FQ6-LTJ0"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqWQAQ";"8.41";"KJ-L4KR-DI6W"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqXQAQ";"12.99";"L4-AU9R-I4ZZ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqYQAQ";"14.99";"LL-NGCK-H1AY"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqZQAQ";"12.99";"M5-NGRL-FVD5"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqaQAA";"7.99";"MH-7N8M-9I54"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqbQAA";"509.99";"MT-FA8I-HZCD"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqcQAA";"12.99";"MZ-A1CU-C3VR"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqdQAA";"9.99";"N1-DP0R-CEFV"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqeQAA";"11.99";"NL-LYI8-PGWQ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqfQAA";"14.99";"NN-SOSL-K53B"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqgQAA";"12.99";"PE-RACV-E8FT"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqhQAA";"9.99";"PF-BFIT-5WDQ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqiQAA";"14.99";"PF-YDWR-5LG9"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqjQAA";"29.95";"PU-0F55-0D8K"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqkQAA";"9.99";"PY-T3LI-B3PY"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqlQAA";"12.99";"PY-X7NL-L8PF"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqmQAA";"14.99";"QF-THRA-D9Y0"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqnQAA";"6.99";"QL-TZO2-IG5M"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqoQAA";"14.99";"RG-OP4H-YCR1"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqpQAA";"12.99";"SP-79LM-EZWX"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqqQAA";"12.99";"SV-8SE2-GM2U"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqrQAA";"7.99";"SW-70M8-26AJ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqsQAA";"14.99";"SW-EJVK-OKRV"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqtQAA";"12.99";"T9-JX0W-3401"
